  Title : laser_pos04				
  Version : 1 725				
  Revision : 10 bits ADC				
  Date : 09-07-2023				
  Time : 13:45:24				
  Author : Unknown				
  Company : Unknown				
  Contents :				
  				
*BLOCK 1			Maximum	3233
5			meanNoise	7,527165932
6			SNR	429,5109247
5				
2				
2				
7				
6				
7				
8				
1				
5				
6				
4				
3				
10				
4				
9				
11				
4				
4				
10				
7				
6				
6				
10				
5				
4				
6				
8				
7				
9				
7				
7				
6				
6				
8				
6				
1				
9				
8				
7				
7				
5				
10				
5				
6				
4				
5				
15				
10				
8				
5				
7				
3				
16				
11				
6				
5				
5				
4				
8				
6				
9				
7				
8				
9				
4				
9				
4				
8				
6				
8				
12				
8				
9				
5				
11				
10				
12				
14				
15				
8				
18				
26				
20				
29				
36				
39				
37				
37				
51				
59				
73				
78				
112				
180				
238				
428				
639				
1021				
1516				
2003				
2507				
2925				
3198				
3110				
2971				
2543				
2117				
1651				
1321				
904				
734				
535				
416				
316				
226				
186				
165				
120				
113				
88				
81				
67				
66				
59				
53				
49				
57				
39				
42				
32				
34				
40				
33				
25				
39				
23				
35				
41				
51				
37				
33				
43				
56				
44				
55				
55				
62				
46				
62				
55				
48				
42				
36				
29				
33				
21				
27				
28				
20				
25				
18				
29				
21				
17				
40				
21				
13				
24				
18				
18				
10				
10				
12				
14				
9				
16				
19				
13				
6				
9				
16				
13				
9				
16				
12				
8				
15				
11				
10				
19				
8				
10				
7				
9				
6				
10				
14				
10				
11				
14				
9				
15				
7				
15				
8				
10				
8				
10				
12				
3				
11				
12				
13				
12				
4				
7				
10				
14				
11				
7				
10				
4				
13				
10				
12				
7				
9				
7				
7				
6				
9				
13				
10				
5				
9				
11				
10				
10				
8				
13				
2				
6				
3				
7				
5				
7				
12				
6				
16				
11				
5				
12				
9				
8				
11				
11				
7				
8				
6				
10				
9				
8				
4				
8				
7				
7				
11				
7				
10				
11				
6				
7				
7				
5				
13				
5				
12				
5				
9				
6				
7				
10				
8				
12				
6				
7				
3				
4				
6				
9				
10				
6				
9				
7				
6				
6				
9				
5				
7				
10				
12				
7				
11				
11				
10				
4				
5				
9				
5				
11				
13				
9				
6				
10				
9				
7				
9				
12				
13				
9				
11				
4				
11				
8				
5				
7				
7				
12				
5				
8				
6				
6				
10				
